section,check,passed,observed,expected
Raw exports,Official CSV file count,TRUE,90,90
Raw exports,Validation reports no missing files,TRUE,0,0
Raw exports,Actual rows equal expected rows,TRUE,63090288,63090288
Raw exports,Validated countline inventory,TRUE,711,711
Fixed-year comparison,Requested year pairs,TRUE,2021 vs 2024;2022 vs 2025 | 2021 vs 2024;2022 vs 2025 | 2021 vs 2024;2022 vs 2025 | 2021 vs 2024;2022 vs 2025 | 2022 vs 2026;2023 vs 2025,2021 vs 2024;2022 vs 2025 | 2021 vs 2024;2022 vs 2025 | 2021 vs 2024;2022 vs 2025 | 2021 vs 2024;2022 vs 2025 | 2022 vs 2026;2023 vs 2025
Fixed-year comparison,Active travel decomposition,TRUE,2.8421709430404e-14,0
Mode arithmetic,annual_scheme_outcomes_long.csv,TRUE,0,0
Mode arithmetic,annual_scheme_route_outcomes_long.csv,TRUE,0,0
Mode arithmetic,monthly_scheme_temporal_long.csv,TRUE,0,0
Mode arithmetic,monthly_scheme_route_temporal_long.csv,TRUE,0,0
Mode arithmetic,weekly_scheme_temporal_long.csv,TRUE,0,0
Mode arithmetic,weekly_scheme_route_temporal_long.csv,TRUE,0,0
Citywide cohort,Eligibility IDs are unique,TRUE,149,149
Citywide cohort,Eligibility metadata is complete,TRUE,0,0
Citywide cohort,All exported eligibility rows pass,TRUE,149,149
IMD pairs,Countline IDs are not reused,TRUE,41,41
IMD pairs,Pair metadata is complete,TRUE,36,0
IMD pairs,Every pair has treated and control roles,TRUE,"2,2,2,2,2,2",2 per pair
IMD pairs,Published IMD scores match source,TRUE,0,0
IMD pairs,Published IMD deciles match source,TRUE,0,0
IMD calculation,Combined estimate is equal-context weighted,TRUE,2.53130849614536e-14,0
Trajectory matching,Six mode-specific controls selected,TRUE,6,6
Trajectory matching,Percentage-index log scale used,TRUE,log(percentage index / 100),log(percentage index / 100)
Trajectory matching,Road type excluded from selection,TRUE,0,0
Trajectory matching,All selected controls pass strict gates,TRUE,TRUE,TRUE
Trajectory matching,All comparison baselines indexed to 100,TRUE,0,0
Weather,Unique weather site-date rows,TRUE,0,0
Weather,Weather values are complete,TRUE,0,0
HTML report,Requested fixed-year panels are present,TRUE,4,4
HTML report,Combined IMD matched-day label is populated,TRUE,TRUE,TRUE
